datetime,year,month,day,hour,minute,chamber,rs,rsgf,tsoil,tsoilgf
2023-10-05T22:20:00,2023,10,5,22,20,5,0.680744601,0.680744601,16.51266667,16.51266667
2023-10-05T22:25:00,2023,10,5,22,25,6,0.856539022,0.856539022,16.502,16.502
2023-10-05T22:30:00,2023,10,5,22,30,1,0.984760887,0.984760887,16.492,16.492
2023-10-05T22:35:00,2023,10,5,22,35,2,0.756664663,0.756664663,16.48366667,16.48366667
2023-10-05T22:40:00,2023,10,5,22,40,3,1.112463936,1.112463936,16.47066667,16.47066667
2023-10-05T22:45:00,2023,10,5,22,45,4,0.473432641,0.473432641,16.46,16.46
2023-10-05T22:50:00,2023,10,5,22,50,5,0.724283322,0.724283322,16.45233333,16.45233333
2023-10-05T22:55:00,2023,10,5,22,55,6,0.853449236,0.853449236,16.43966667,16.43966667
2023-10-05T23:00:00,2023,10,5,23,0,1,0.834439322,0.834439322,16.43133333,16.43133333
2023-10-05T23:05:00,2023,10,5,23,5,2,0.703253181,0.703253181,16.42066667,16.42066667
2023-10-05T23:10:00,2023,10,5,23,10,3,1.016479482,1.016479482,16.40933333,16.40933333
2023-10-05T23:15:00,2023,10,5,23,15,4,0.508544035,0.508544035,16.40233333,16.40233333
2023-10-05T23:20:00,2023,10,5,23,20,5,0.722914526,0.722914526,16.39233333,16.39233333
2023-10-05T23:25:00,2023,10,5,23,25,6,0.779948429,0.779948429,16.384,16.384
2023-10-05T23:30:00,2023,10,5,23,30,1,0.913817932,0.913817932,16.37433333,16.37433333
2023-10-05T23:35:00,2023,10,5,23,35,2,0.569420501,0.569420501,16.36633333,16.36633333
2023-10-05T23:40:00,2023,10,5,23,40,3,1.109816943,1.109816943,16.35833333,16.35833333
2023-10-05T23:45:00,2023,10,5,23,45,4,0.405033221,0.405033221,16.35,16.35
2023-10-05T23:50:00,2023,10,5,23,50,5,0.75830508,0.75830508,16.34533333,16.34533333
2023-10-05T23:55:00,2023,10,5,23,55,6,0.449743022,0.449743022,16.33433333,16.33433333
2023-10-06T00:00:00,2023,10,6,0,0,1,0.829506296,0.829506296,16.32966667,16.32966667
2023-10-06T00:05:00,2023,10,6,0,5,2,0.579711001,0.579711001,16.32366667,16.32366667
2023-10-06T00:10:00,2023,10,6,0,10,3,0.948705738,0.948705738,16.314,16.314
2023-10-06T00:15:00,2023,10,6,0,15,4,0.440068122,0.440068122,16.31033333,16.31033333
2023-10-06T00:20:00,2023,10,6,0,20,5,0.609826112,0.609826112,16.30433333,16.30433333
2023-10-06T00:25:00,2023,10,6,0,25,6,0.679810077,0.679810077,16.29633333,16.29633333
2023-10-06T00:30:00,2023,10,6,0,30,1,0.771618241,0.771618241,16.293,16.293
